,absorption/nm,emission/nm,plqy,e/m-1cm-1,smiles,solvent,reference(doi),source,tag_name
53956,308.0,370.0,0.170000002,,c1ccc(-c2cccc3c2-c2ccccc2C32c3ccccc3-c3ccccc32)nc1,C1CCCCC1,10.1021/jp511385f,Deep4Chem,6n6
21367,593.0,643.0,0.216999993,64400.0,CCOC(=O)CCN1CCCc2cc3cc4c(=O)oc5cc(N(C)C)ccc5c4[o+]c3cc21,CC#N,10.1016/j.saa.2016.03.042,Deep4Chem,Coumarin
44135,542.0,556.0,0.657999992,,F[B-]1(F)n2cccc2C(C#Cc2ccccc2)=C2C=CC=[N+]21,ClCCl,10.1021/jp412132y,PubMed,BODIPY
23176,630.0,642.0,0.660000026,66300.0,CCc1c(C)c2n(c1C)[B-]1(c3ccc4ccc5cccc6ccc3c4c56)Oc3ccccc3C3=[N+]1C(=C2)c1ccccc13,Cc1ccccc1,10.1021/acs.orglett.7b00601,Deep4Chem,BODIPY
35751,523.5,536.0,0.0065,,CSC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCO,10.1002/cphc.201300818,PubMed,BODIPY
24730,473.0,537.0,0.035,32000.0,CN(C)c1ccc(/C=C2/N=C(c3ccccc3)OC2=O)cc1,CO,10.1016/j.saa.2012.04.077,Deep4Chem,5n6
50807,443.0,561.0,0.419999987,,O=S1(=O)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc31)C1(C3=C(c4ccccc41)S(=O)(=O)c1cc(N(c4ccccc4)c4ccccc4)ccc13)c1ccccc12,C1CCOC1,10.1021/acs.joc.8b02301,Deep4Chem,Triphenylamine
33328,484.0,555.0,0.949999988,53400.0,COc1ccc(C2=CC(=c3ccc4c(c3)C=CC(=[N+](C)C)C=4)O[B-](F)(F)O2)cc1,Cc1ccccc1,10.1016/j.cclet.2019.04.058,Deep4Chem,6p6
13853,428.0,485.0,0.50999999,,CCCCCCCCCCCCOc1ccc(C#CC(C#Cc2ccc(OCCCCCCCCCCCC)cc2)=Cc2ccc(C=C(C#Cc3ccc(OCCCCCCCCCCCC)cc3)C#Cc3ccc(OCCCCCCCCCCCC)cc3)cc2)cc1,CCOC(C)=O,10.1021/jo026718+,Deep4Chem,6n6
49628,472.0,493.0,0.043000001,59300.0,O=C1OC(c2ccccc2)=N/C1=C\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC1CCCCC1,10.1016/j.saa.2016.08.006,Deep4Chem,Triphenylamine
