,absorption/nm,emission/nm,plqy,e/m-1cm-1,smiles,solvent,reference(doi),source,tag_name
36147,578.0,640.0,28.0000001,470.2430536445525,C[N+](C)=C1C=CC(=C2C3=C(OC4=C2Cc2cc(N)ccc24)c2ccc(N)cc2C3)C=C1,CCO,10.1002/chem.201900246,ChemFluo,5p6
24797,438.0,582.0,2.0,432.2219294733919,CN(C)c1ccc(/C=c2\o/c(=C\c3ccc(C#N)cc3)c3ccccc23)cc1,ClCCl,10.1016/j.dyepig.2014.10.013,ChemFluo,5p6
51945,478.0,500.0,33.0000013,378.5329835010767,O=c1oc2ccc3cccc4c(O)c(Cl)c(c1Cl)c2c34,CC1CCCO1,10.1021/acs.joc.6b02094,Deep4Chem,Coumarin
22011,482.0,552.0,5.9999999,412.7104798364807,CCOC(=O)c1ccc2c(c1)C(C)(C)C1=[N+]2[B-](F)(F)n2cccc2-c2c1cc1n2CC=C1,CO,10.1016/j.tet.2018.04.063,ChemFluo,BODIPY
10276,348.0,415.3,54.50000000000001,427.6500865941352,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,Cc1ccccc1,"10.1002/anie.201909536,10.1002/chem.201301020,10.1016/j.jphotochem.2012.04.011","Deep4Chem,ChemFluo",PAHs
8323,515.0,537.0,91.0,514.5999899905121,CC1=C(Cl)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(S(C)=O)c(C)n1[B-]2(F)F,ClCCl,10.1002/asia.201100025,"DYES,PubMed",BODIPY
39697,337.0,342.0,48.500001399999995,404.99928569201427,Cc1cc2oc3ccccc3c2c2[nH]c3ccccc3c12,ClCCl,10.1021/ja803954e,Deep4Chem,Carbazole
25814,358.0,456.0,14.000000100000001,400.0,CN(C)c1ncc2nc(C#N)n(Cc3ccccc3)c2n1,CO,10.1021/ja806348z,Deep4Chem,5p6
33867,393.0,509.0,28.999999199999998,399.56351945975496,COc1ccc(N(c2ccc(OC)cc2)c2sc(-c3ccc(Cl)cc3)nc2-c2ccccc2)cc1,ClC(Cl)Cl,10.1021/ol200231z,Deep4Chem,5n6
33342,664.0,695.0,23.0,489.19999384485874,COc1ccc(C2=CC(c3ccccc3)=[N+]3C2=Nc2c(-c4ccc(OC)cc4)cc(-c4ccccc4)n2[B-]3(F)F)cc1,ClC(Cl)Cl,10.1039/c4cs00030g,"Deep4Chem,SMFluo",BODIPY
35851,315.0,460.0,0.3,369.0196080028514,CSc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,CC#N,10.1021/jp044530j,Deep4Chem,Acridines
13281,436.0,531.0,4.8,469.8970004336019,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3)cc21,C1CCOC1,10.1016/j.dyepig.2018.03.059,Deep4Chem,5p6
41565,679.0,703.0,31.0,523.0000088876488,Cc1ccc2ccc3c(c2n1)N=C(/C=C1\C(=O)C(/C=C2\Nc4c(ccc5ccc(C)nc45)C2(C)C)=C1O)C3(C)C,CO,10.1016/j.saa.2018.11.061,"Deep4Chem,SMFluo",SquaricAcid
352,317.0,410.0,1.0,407.1882007306125,Brc1ccc(/C=C/c2ccncn2)cc1,ClCCl,dx.doi.org/10.1021/jo3004919,Deep4Chem,6n6
17104,468.0,490.0,0.32,484.63371121298053,CCCCN1C(=O)C(=CC=C2N(CCCC)c3ccccc3N2CCCC)C(=O)N(CCCC)C1=S,Cc1ccccc1,10.1039/C5CP06653K,Deep4Chem,Cyanine
51973,442.0,529.0,15.9999996,405.69048513364726,O=c1oc2ccccc2c2c1c(=O)oc1cc(O)c3ccccc3c12,ClCCl,10.1021/jo501565r,Deep4Chem,Coumarin
43799,545.0,593.0,2.0,487.49998787669756,F[B-]1(F)n2c(Sc3ccccc3)ccc2C(Sc2ccccc2)=C2C=CC=[N+]21,CO,10.1039/C4OB01892C,"DYES,PubMed",BODIPY
37032,418.0,423.0,60.0000024,417.60912590556813,C[n+]1cc2ccc3c[n+](C)cc4ccc(c1)c2c34,CC#N,10.1016/j.ica.2006.08.026,Deep4Chem,PAHs
32627,536.0,616.0,38.999998600000005,473.61573752731323,COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,ClCCl,10.1021/jo400389h,Deep4Chem,PAHs
40135,385.0,468.0,21.9999999,490.7733736997655,Cc1ccc(-c2nc(/C=C/c3ccc(Cl)cc3)c(/C=C/c3ccc(Cl)cc3)[nH]2)cc1,ClCCl,10.1016/j.saa.2019.03.043,Deep4Chem,5n6
